file,class,method,variable,usage
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addInt64/1[long],index,2
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addDate/1[long],objects,1
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addDate/1[long],index,2
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addDatetime/1[long],objects,1
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addDatetime/1[long],index,2
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addFloat/1[float],objects,1
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addFloat/1[float],index,2
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addFlagNull/1[boolean],objects,2
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addFlagNull/1[boolean],index,3
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addChar/1[char],objects,1
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addChar/1[char],index,2
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addTime/1[int],objects,1
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addTime/1[int],index,2
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addUInt8/1[byte],objects,1
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\resultset\SimpleBinaryWriterImpl.java,io.mycat.beans.resultset.SimpleBinaryWriterImpl,addUInt8/1[byte],index,2
