file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\io\mycat\calcite\physical\MycatIntersect.java,io.mycat.calcite.physical.MycatIntersect,class,17,19,2,17,10,2,0,26,21,0.0,0.0,0.0,7,1,5,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,1,47,5,2,1,0,0,2,1,13,1,9,2,0,0,0,54,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\org\apache\calcite\rel\type\RelDataTypeFactoryImpl.java,org.apache.calcite.rel.type.RelDataTypeFactoryImpl$Key,innerclass,3,3,0,3,6,1,0,3,0,0.0,1.0,1.0,3,0,2,0,0,1,3,0,0,0,4,0,0,4,0,0,4,0,1,18,2,0,3,0,4,0,0,4,0,4,0,0,0,0,16,10,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\io\mycat\calcite\rewriter\MycatDynamicParam.java,io.mycat.calcite.rewriter.MycatDynamicParam,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\org\apache\calcite\adapter\enumerable\RexImpTable.java,org.apache.calcite.adapter.enumerable.RexImpTable$TumbleImplementor,innerclass,8,8,0,8,2,1,0,15,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,1,1,6,5,0,5,0,0,0,0,33,10,0
C:\Users\Acer\Desktop\cloned\Mycat2\mycat2\src\main\java\io\mycat\sqlhandler\dcl\SetTransactionSQLHandler.java,io.mycat.sqlhandler.dcl.SetTransactionSQLHandler,class,9,11,2,9,4,2,0,11,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,21,2,0,1,0,0,2,0,6,0,6,1,0,0,0,31,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\hbt\src\main\java\io\mycat\calcite\spm\ParamHolder.java,io.mycat.calcite.spm.ParamHolder,class,3,5,2,3,2,1,0,1,0,0.33333334,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,1,1,0,0,2,1,0,1,13,0,0,0,0,0,0,0,5,0,3,0,0,0,1,20,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\mycat2\src\main\java\io\mycat\vertxmycat\RowSetMySqlPreparedTextQuery.java,io.mycat.vertxmycat.RowSetMySqlPreparedTextQuery,class,16,17,1,16,7,1,0,16,0,0.16666667,0.6666667,0.6666667,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,4,45,7,1,0,0,0,0,8,10,1,14,3,0,0,4,38,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\common\src\main\java\io\mycat\beans\mycat\MycatErrorCode.java,io.mycat.beans.mycat.MycatErrorCode,class,2,3,1,2,9,1,0,10,0,0.974359,0.3,0.3,4,4,4,0,0,0,5,0,0,0,39,39,38,1,0,0,1,0,4,72,5,1,0,1,0,2,38,42,3,42,2,0,0,0,46,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\executor\src\main\java\io\ordinate\engine\physicalplan\TableFunctionPlan.java,io.ordinate.engine.physicalplan.TableFunctionPlan,class,10,11,1,10,7,1,0,7,11,0.61904764,0.23809524,0.2857143,7,1,7,0,0,0,7,0,0,0,3,0,0,0,0,3,3,0,1,29,4,0,0,0,0,0,2,4,0,4,0,0,0,0,22,1,0
C:\Users\Acer\Desktop\cloned\Mycat2\config\src\main\java\io\mycat\config\DatasourceConfig.java,io.mycat.config.DatasourceConfig,class,6,30,24,6,82,1,0,25,43,0.96999997,0.022222223,0.022222223,10,1,10,0,0,0,10,0,0,0,20,0,0,20,0,0,0,0,6,243,55,0,6,0,0,129,12,26,3,26,2,0,1,1,71,1,0
