file,class,method,variable,usage
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,confirm/1[com.yami.shop.bean.app.param.OrderParam],orderReduce,3
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,confirm/1[com.yami.shop.bean.app.param.OrderParam],shopAllShopCartItems,2
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,confirm/1[com.yami.shop.bean.app.param.OrderParam],userAddrDto,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,confirm/1[com.yami.shop.bean.app.param.OrderParam],shopCartOrderMergerDto,9
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,submitOrders/1[com.yami.shop.bean.app.param.SubmitOrderParam],orderShopParam,2
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,submitOrders/1[com.yami.shop.bean.app.param.SubmitOrderParam],basketId,2
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,submitOrders/1[com.yami.shop.bean.app.param.SubmitOrderParam],orderShopParams,2
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,submitOrders/1[com.yami.shop.bean.app.param.SubmitOrderParam],mergerOrder,3
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,submitOrders/1[com.yami.shop.bean.app.param.SubmitOrderParam],shopCartOrder,4
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,submitOrders/1[com.yami.shop.bean.app.param.SubmitOrderParam],userId,4
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,submitOrders/1[com.yami.shop.bean.app.param.SubmitOrderParam],shopCartOrders,2
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,submitOrders/1[com.yami.shop.bean.app.param.SubmitOrderParam],orderNumbers,4
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,submitOrders/1[com.yami.shop.bean.app.param.SubmitOrderParam],shopCartItemDiscount,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,submitOrders/1[com.yami.shop.bean.app.param.SubmitOrderParam],orders,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,submitOrders/1[com.yami.shop.bean.app.param.SubmitOrderParam],isShopCartOrder,2
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,submitOrders/1[com.yami.shop.bean.app.param.SubmitOrderParam],shopCartItem,4
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,submitOrders/1[com.yami.shop.bean.app.param.SubmitOrderParam],submitOrderParam,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\OrderController.java,com.yami.shop.api.controller.OrderController,submitOrders/1[com.yami.shop.bean.app.param.SubmitOrderParam],order,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\NoticeController.java,com.yami.shop.api.controller.NoticeController,getTopNoticeList/0,noticeList,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\NoticeController.java,com.yami.shop.api.controller.NoticeController,getTopNoticeList/0,noticeDtoList,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\NoticeController.java,com.yami.shop.api.controller.NoticeController,getNoticeById/1[java.lang.Long],id,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\NoticeController.java,com.yami.shop.api.controller.NoticeController,getNoticeById/1[java.lang.Long],noticeDto,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\NoticeController.java,com.yami.shop.api.controller.NoticeController,getNoticeById/1[java.lang.Long],notice,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\NoticeController.java,com.yami.shop.api.controller.NoticeController,pageNotice/1[com.yami.shop.common.util.PageParam<com.yami.shop.bean.app.dto.NoticeDto>],page,1
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-service\src\main\java\com\yami\shop\dao\CategoryBrandMapper.java,com.yami.shop.dao.CategoryBrandMapper,deleteByCategoryId/1[java.lang.Long],categoryId,0
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-service\src\main\java\com\yami\shop\dao\CategoryBrandMapper.java,com.yami.shop.dao.CategoryBrandMapper,"insertCategoryBrand/2[java.lang.Long,java.util.List<java.lang.Long>]",brandIds,0
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-service\src\main\java\com\yami\shop\dao\CategoryBrandMapper.java,com.yami.shop.dao.CategoryBrandMapper,"insertCategoryBrand/2[java.lang.Long,java.util.List<java.lang.Long>]",categoryId,0
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-service\src\main\java\com\yami\shop\dao\CategoryBrandMapper.java,com.yami.shop.dao.CategoryBrandMapper,deleteByBrandId/1[java.lang.Long],brandId,0
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\DeliveryController.java,com.yami.shop.api.controller.DeliveryController,checkDelivery/1[java.lang.String],delivery,3
C:\Users\Acer\Desktop\cloned\mall4j\yami-shop-api\src\main\java\com\yami\shop\api\controller\DeliveryController.java,com.yami.shop.api.controller.DeliveryController,checkDelivery/1[java.lang.String],orderNumber,1
